,company_name,job_title,min_experience,total_avg_sala,avg_salary_in_lacs,min_salary,max_salary,num_of_salaries
541,Galytix Analytics,Data Analyst,0,600000,6,6.0L,6.0L,28
576,Mindtree,Data Engineer,1,600000,6,3.9L,9.9L,124
1027,MetLife,Senior Business Analyst,0,600000,6,4.0L,9.3L,35
1125,TCS,Senior Data Analyst,3,600000,6,2.9L,11.2L,118
1187,Kantar,Senior Data Analyst,2,600000,6,4.5L,8.4L,16
1293,Reliance Retail,Senior Data Analyst,2,600000,6,4.5L,6.8L,7
299,Capita,Business Analyst,1,590000,5.9,2.3L,13.0L,58
351,Care Health Insurance,Business Analyst,0,590000,5.9,3.3L,8.4L,42
364,Ameriprise Financial,Business Analyst,1,590000,5.9,3.9L,9.3L,39
389,Flipkart,Data Analyst,1,590000,5.9,3.2L,12.0L,241
528,Whitehat jr,Data Analyst,1,590000,5.9,4.3L,8.0L,30
679,Decision Point,Data Engineer,0,590000,5.9,4.8L,7.0L,13
1207,Nielsen,Senior Data Analyst,2,590000,5.9,3.1L,9.5L,14
1257,Sentieo,Senior Data Analyst,2,590000,5.9,5.0L,7.0L,8
1496,Wipro,Machine Learning Engineer,1,590000,5.9,3.5L,13.0L,45
368,Simplify Healthcare,Business Analyst,1,580000,5.8,4.0L,9.5L,39
388,Ernst & Young,Data Analyst,1,580000,5.8,3.4L,10.5L,297
403,Ericsson,Data Analyst,2,580000,5.8,4.0L,10.0L,126
436,Dell,Data Analyst,1,580000,5.8,2.5L,12.0L,68
442,CRG Solutions,Data Analyst,1,580000,5.8,3.7L,9.0L,64
443,Oracle,Data Analyst,1,580000,5.8,3.1L,13.9L,64
456,IHS Markit,Data Analyst,1,580000,5.8,3.5L,9.5L,52
500,Brillio,Data Analyst,0,580000,5.8,4.0L,11.0L,36
563,TCS,Data Engineer,1,580000,5.8,3.9L,10.1L,819
602,Larsen & Toubro Limited,Data Engineer,1,580000,5.8,4.0L,10.5L,34
1220,Resilinc,Senior Data Analyst,4,580000,5.8,5.0L,7.0L,11
1253,Yash Technologies,Senior Data Analyst,7,580000,5.8,4.6L,7.5L,8
1493,TCS,Machine Learning Engineer,1,580000,5.8,4.0L,9.3L,193
1525,Ignitarium Technology Solutions,Machine Learning Engineer,0,580000,5.8,5.0L,7.0L,6
384,Infosys,Data Analyst,1,570000,5.7,3.4L,12.0L,323
438,Vodafone Idea,Data Analyst,2,570000,5.7,3.0L,11.0L,67
565,L&T Infotech,Data Engineer,1,570000,5.7,4.1L,9.0L,420
1105,Royal Bank of Scotland International,Senior Business Analyst,3,570000,5.7,4.1L,10.5L,19
1234,Phoenix American Sales Focus Solutions India,Senior Data Analyst,3,570000,5.7,5.0L,7.0L,10
1255,Wunderman,Senior Data Analyst,2,570000,5.7,4.5L,7.4L,8
402,Mindtree,Data Analyst,1,560000,5.6,4.0L,9.6L,132
447,Reliance jio,Data Analyst,1,560000,5.6,3.5L,10.5L,58
535,Annalect,Data Analyst,0,560000,5.6,3.6L,7.5L,29
1507,OptiSol Business Solutions,Machine Learning Engineer,0,560000,5.6,3.5L,8.5L,11
213,Oracle,Business Analyst,1,550000,5.5,3.4L,10.0L,243
312,Altisource,Business Analyst,2,550000,5.5,3.3L,9.0L,52
370,Fluentgrid,Business Analyst,2,550000,5.5,3.2L,8.8L,38
377,Cognizant,Data Analyst,1,550000,5.5,2.9L,8.3L,1200
501,Yodlee,Data Analyst,1,550000,5.5,3.9L,8.6L,35
544,Tesco,Data Analyst,1,550000,5.5,3.9L,8.9L,27
561,Crif High Mark Credit Information Services,Data Analyst,2,550000,5.5,3.8L,8.0L,25
570,Infosys,Data Engineer,1,550000,5.5,3.6L,10.0L,196
609,Fragma Data Systems,Data Engineer,0,550000,5.5,3.5L,11.9L,30
621,BlazeClan Technologies,Data Engineer,0,550000,5.5,3.2L,9.6L,24
624,Celebal Technologies,Data Engineer,0,550000,5.5,4.5L,10.0L,23
1057,Mercer,Senior Business Analyst,2,550000,5.5,2.8L,17.0L,27
1306,Arthur J. Gallagher & Co,Senior Data Analyst,3,550000,5.5,5.0L,6.6L,6
276,Concentrix Corporation,Business Analyst,1,540000,5.4,2.8L,12.0L,80
329,Aon,Business Analyst,2,540000,5.4,3.5L,9.6L,48
409,DXC Technology,Data Analyst,1,540000,5.4,3.7L,10.2L,109
503,JLL,Data Analyst,1,540000,5.4,3.5L,9.2L,35
1177,R1 RCM,Senior Data Analyst,3,540000,5.4,3.9L,6.9L,18
1334,Concentrix Corporation,Senior Data Engineer,2,540000,5.4,4.2L,6.6L,28
308,Analytics Quotient,Business Analyst,1,530000,5.3,4.0L,6.8L,53
347,eClinicalWorks,Business Analyst,2,530000,5.3,3.8L,8.3L,43
534,Bridgei2i Analytics Solutions,Data Analyst,0,530000,5.3,4.5L,7.8L,29
711,Yash Technologies,Data Engineer,0,530000,5.3,3.2L,8.0L,11
1281,Aakash Institute,Senior Data Analyst,1,530000,5.3,3.8L,6.5L,7
1508,Mindtree,Machine Learning Engineer,1,530000,5.3,3.5L,7.0L,10
1522,L&T Technology Services,Machine Learning Engineer,1,530000,5.3,4.4L,7.0L,6
117,Value c Consulting India,Data Scientist,2,520000,5.2,4.2L,6.0L,20
378,Accenture,Data Analyst,1,520000,5.2,2.3L,11.0L,1100
383,Amazon,Data Analyst,1,520000,5.2,2.5L,15.3L,380
415,WNS,Data Analyst,1,520000,5.2,2.0L,8.9L,98
430,TheMathCompany,Data Analyst,0,520000,5.2,4.5L,8.0L,73
89,iNeuron.ai,Data Scientist,0,510000,5.1,3.0L,8.0L,24
448,Mphasis,Data Analyst,1,510000,5.1,2.1L,9.5L,58
524,ValueLabs,Data Analyst,1,510000,5.1,2.4L,13.8L,30
644,Wavicle Data Solutions,Data Engineer,2,510000,5.1,3.5L,7.2L,19
1053,First Source,Senior Business Analyst,2,510000,5.1,3.4L,6.6L,27
1201,HERE Technologies,Senior Data Analyst,4,510000,5.1,4.5L,6.5L,14
1202,CAMP Systems,Senior Data Analyst,4,510000,5.1,3.8L,6.2L,14
1509,Virtusa Consulting Services,Machine Learning Engineer,0,510000,5.1,4.0L,9.0L,9
1519,Freelancer.com,Machine Learning Engineer,0,510000,5.1,2.0L,8.4L,7
1542,EEGRAB,Machine Learning Engineer,1,510000,5.1,3.5L,7.2L,5
1549,Datamatics Global Services,Machine Learning Engineer,1,510000,5.1,3.1L,8.0L,4
363,Tata Communications,Business Analyst,1,500000,5,2.9L,9.2L,39
413,EXL Service,Data Analyst,1,500000,5,2.2L,9.1L,102
453,Udaan,Data Analyst,1,500000,5,3.0L,9.0L,53
469,Fidelity National Information Services,Data Analyst,1,500000,5,2.7L,8.1L,46
495,Johnson & Johnson,Data Analyst,1,500000,5,3.0L,10.5L,37
497,Larsen & Toubro Limited,Data Analyst,1,500000,5,2.0L,9.0L,37
735,Ags Infotech,Data Engineer,2,500000,5,4.4L,5.5L,9
1148,Morningstar,Senior Data Analyst,2,500000,5,3.8L,6.3L,37
1223,Cross-tab Marketing Services,Senior Data Analyst,0,500000,5,3.5L,7.0L,11
1284,Vaco Binary Semantics,Senior Data Analyst,1,500000,5,3.5L,6.8L,7
56,BEPEC Solutions,Data Scientist,1,490000,4.9,3.0L,7.0L,34
420,ICICI Bank,Data Analyst,1,490000,4.9,2.5L,10.0L,82
1161,Proziod Analytics,Senior Data Analyst,3,490000,4.9,3.6L,6.3L,25
1279,Nailbiter,Senior Data Analyst,1,490000,4.9,4.5L,5.2L,7
1288,Fidelity National Financial,Senior Data Analyst,2,490000,4.9,3.5L,6.2L,7
223,CG Foods,Business Analyst,0,480000,4.8,2.0L,10.0L,175
283,Provana,Business Analyst,1,480000,4.8,3.5L,6.5L,73
380,Wipro,Data Analyst,1,480000,4.8,2.2L,9.0L,475
523,Sutherland Global Services,Data Analyst,1,480000,4.8,2.8L,7.3L,30
533,Mercer,Data Analyst,0,480000,4.8,2.3L,8.5L,29
1168,FE fundinfo,Senior Data Analyst,2,480000,4.8,4.0L,5.4L,21
1536,Takvaviya Analytics,Machine Learning Engineer,1,480000,4.8,4.2L,5.3L,5
108,Rubixe,Data Scientist,0,470000,4.7,2.4L,9.0L,21
119,Flip Robo Technologies,Data Scientist,1,470000,4.7,3.0L,7.9L,20
376,TCS,Data Analyst,1,470000,4.7,2.4L,8.9L,1600
390,Genpact,Data Analyst,1,470000,4.7,2.5L,9.0L,228
483,Systech Solutions,Data Analyst,0,470000,4.7,3.8L,7.5L,41
1124,Capgemini,Senior Data Analyst,1,470000,4.7,3.8L,7.1L,129
1210,Nailbiter Research,Senior Data Analyst,0,470000,4.7,4.2L,5.2L,14
1530,Qualitas Technologies,Machine Learning Engineer,1,470000,4.7,2.8L,7.0L,5
379,Capgemini,Data Analyst,0,460000,4.6,3.0L,9.0L,485
382,Tech Mahindra,Data Analyst,1,460000,4.6,2.2L,7.5L,397
418,Ugam Solution,Data Analyst,0,460000,4.6,1.8L,8.0L,92
419,Bharti Airtel,Data Analyst,1,460000,4.6,2.6L,11.0L,90
434,HDFC Bank,Data Analyst,1,460000,4.6,2.0L,10.3L,69
478,Aon,Data Analyst,0,460000,4.6,2.9L,8.5L,43
488,SG Analytics,Data Analyst,1,460000,4.6,3.0L,6.3L,39
1129,Concentrix Corporation,Senior Data Analyst,2,460000,4.6,3.1L,7.5L,85
1217,Mercer,Senior Data Analyst,1,460000,4.6,3.0L,6.5L,12
1232,Fedby Information Services,Senior Data Analyst,3,460000,4.6,4.0L,5.5L,10
49,Innodatatics,Data Scientist,0,450000,4.5,2.0L,7.0L,37
284,ANR Software,Business Analyst,1,450000,4.5,3.1L,7.0L,71
293,Merkle Sokrati,Business Analyst,0,450000,4.5,4.2L,5.0L,61
385,HCL Technologies,Data Analyst,1,450000,4.5,2.4L,9.5L,320
1275,Fuel Intelligence,Senior Data Analyst,2,450000,4.5,4.0L,5.0L,7
1516,e-Zest,Machine Learning Engineer,0,450000,4.5,2.1L,7.0L,7
294,First Source,Business Analyst,1,440000,4.4,2.7L,7.0L,60
424,S&P Global,Data Analyst,1,440000,4.4,3.1L,8.0L,79
437,Zensar Technologies,Data Analyst,1,440000,4.4,2.9L,6.5L,67
445,Swiggy,Data Analyst,1,440000,4.4,3.1L,7.3L,62
1543,Digitalmain,Machine Learning Engineer,1,440000,4.4,3.0L,5.8L,5
367,MSC Technology India,Business Analyst,1,430000,4.3,2.9L,5.7L,39
399,NTT DATA,Data Analyst,1,430000,4.3,2.1L,8.0L,138
491,Huawei Technologies,Data Analyst,2,430000,4.3,3.3L,5.8L,38
1038,R1 RCM,Senior Business Analyst,2,430000,4.3,3.5L,5.9L,31
1128,eClerx,Senior Data Analyst,1,430000,4.3,3.0L,7.2L,90
1158,Zen3 Info Solutions,Senior Data Analyst,3,430000,4.3,3.4L,5.5L,27
1282,D2L Pharma Research Solutions,Senior Data Analyst,4,430000,4.3,3.4L,5.2L,7
1305,Collegedunia,Senior Data Analyst,1,430000,4.3,3.6L,5.0L,6
423,Kantar,Data Analyst,1,420000,4.2,3.0L,5.7L,79
473,Nokia,Data Analyst,0,420000,4.2,2.2L,8.0L,45
477,Virtusa Consulting Services,Data Analyst,1,420000,4.2,2.2L,8.8L,44
516,Randstad,Data Analyst,1,420000,4.2,2.5L,8.0L,31
560,Hive,Data Analyst,0,420000,4.2,3.5L,5.8L,25
638,Blackbuck Insights,Data Engineer,0,420000,4.2,2.5L,8.5L,20
1012,eClerx,Senior Business Analyst,2,420000,4.2,3.2L,6.0L,42
1273,BUDDI.AI,Senior Data Analyst,3,420000,4.2,4.0L,5.0L,8
455,E2OPEN,Data Analyst,2,410000,4.1,3.2L,5.7L,53
486,S&P Global Market Intelligence,Data Analyst,1,410000,4.1,3.0L,6.1L,40
549,Thomson Reuters,Data Analyst,1,410000,4.1,2.1L,6.9L,26
659,Systech Solutions,Data Engineer,0,410000,4.1,3.3L,4.5L,16
743,Aktrix Technologies,Data Engineer,0,410000,4.1,3.0L,5.5L,9
358,Pboplus Consulting Services,Business Analyst,0,400000,4,3.0L,5.2L,40
369,CMS Computers Limited (INDIA),Business Analyst,1,400000,4,2.6L,6.0L,39
427,Nielsen,Data Analyst,1,400000,4,2.4L,7.3L,75
548,Collegedunia,Data Analyst,1,400000,4,3.0L,5.4L,26
606,Bharti Airtel,Data Engineer,2,400000,4,3.0L,7.5L,30
722,AVASOFT,Data Engineer,0,400000,4,3.5L,4.9L,10
392,Concentrix Corporation,Data Analyst,1,390000,3.9,2.4L,6.3L,209
479,Conduent,Data Analyst,1,390000,3.9,1.6L,6.4L,42
550,Tata Communications,Data Analyst,0,390000,3.9,2.1L,5.1L,26
375,R1 RCM,Business Analyst,1,380000,3.8,2.7L,6.7L,37
499,Freelance Consultants,Data Analyst,1,380000,3.8,1.8L,6.1L,36
509,Infosys BPM,Data Analyst,1,380000,3.8,2.1L,7.8L,34
513,CAMP Systems,Data Analyst,1,380000,3.8,3.0L,4.6L,32
1145,Urjanet Energy Solutions,Senior Data Analyst,2,380000,3.8,3.1L,5.0L,42
305,eClerx,Business Analyst,1,370000,3.7,2.3L,9.3L,55
476,Freelancer.com,Data Analyst,1,370000,3.7,1.5L,7.0L,45
498,Yardi Systems,Data Analyst,2,370000,3.7,2.7L,4.6L,36
518,N+A,Data Analyst,0,370000,3.7,2.1L,6.0L,31
532,Hinduja Global Solutions,Data Analyst,1,370000,3.7,2.0L,6.5L,29
539,Vaco Binary Semantics,Data Analyst,0,370000,3.7,2.4L,6.0L,28
675,Concentrix Corporation,Data Engineer,1,370000,3.7,2.6L,4.5L,14
1008,Concentrix Corporation,Senior Business Analyst,2,370000,3.7,2.7L,6.2L,43
1523,Sysark,Machine Learning Engineer,1,370000,3.7,3.1L,4.5L,6
1541,Metagogy Learning Systems,Machine Learning Engineer,0,370000,3.7,3.0L,4.2L,5
429,Morningstar,Data Analyst,0,360000,3.6,3.0L,4.8L,74
1144,Cyient,Senior Data Analyst,4,360000,3.6,2.5L,5.3L,43
1208,VASTA BIO-INFORMATICS,Senior Data Analyst,1,360000,3.6,3.3L,4.3L,14
1249,InSync Analytics,Senior Data Analyst,4,360000,3.6,3.1L,4.0L,9
1524,Lucida Technologies,Machine Learning Engineer,1,360000,3.6,3.3L,4.3L,6
1529,Reflections Info Systems,Machine Learning Engineer,1,360000,3.6,3.0L,4.5L,5
458,Proziod Analytics,Data Analyst,1,350000,3.5,3.0L,4.5L,51
463,Course5,Data Analyst,0,350000,3.5,3.0L,5.1L,48
1139,GlobalLogic,Senior Data Analyst,2,350000,3.5,2.5L,5.0L,46
1160,LiquidHub,Senior Data Analyst,2,350000,3.5,2.5L,4.8L,25
328,Shipco Transport,Business Analyst,1,340000,3.4,2.1L,5.0L,48
406,Cyient,Data Analyst,1,340000,3.4,1.8L,6.7L,119
472,R1 RCM,Data Analyst,1,340000,3.4,2.3L,5.5L,45
482,Sphera Solutions,Data Analyst,0,340000,3.4,3.2L,3.8L,42
1246,QL2 Software,Senior Data Analyst,4,340000,3.4,2.7L,5.5L,9
1447,Information Evolution,Senior Data Engineer,3,340000,3.4,2.5L,4.3L,5
435,Nvidia,Data Analyst,1,330000,3.3,2.5L,4.1L,69
450,FE fundinfo,Data Analyst,0,330000,3.3,2.5L,4.0L,55
457,Fidelity National Financial,Data Analyst,0,330000,3.3,1.9L,4.2L,51
719,Knoema IT Solutions,Data Engineer,0,330000,3.3,2.0L,4.1L,11
1084,Hinduja Global Solutions,Senior Business Analyst,2,330000,3.3,2.4L,4.3L,22
558,NISC Export Services,Data Analyst,1,320000,3.2,2.3L,5.0L,25
1126,Unilog Content Solutions ( P),Senior Data Analyst,3,320000,3.2,2.8L,3.8L,110
394,Zen3 Info Solutions,Data Analyst,1,310000,3.1,2.2L,4.2L,188
452,Competent Software,Data Analyst,1,310000,3.1,2.0L,4.1L,54
468,UnitedLex,Data Analyst,1,310000,3.1,2.5L,4.2L,47
1221,Bluemind Solutions,Senior Data Analyst,4,310000,3.1,2.8L,3.5L,11
356,Atidiv,Business Analyst,1,300000,3,2.2L,4.0L,40
410,QUADRANT RESOURCE LLC,Data Analyst,1,300000,3,1.5L,4.0L,109
507,Numeratr,Data Analyst,0,300000,3,2.0L,4.4L,35
1061,Statestreet HCL Services,Senior Business Analyst,1,300000,3,2.4L,3.6L,27
1209,VeeTechnologies,Senior Data Analyst,2,300000,3,2.0L,4.0L,14
1254,Teleperformance,Senior Data Analyst,2,300000,3,2.0L,4.4L,8
319,KJ System,Business Analyst,1,290000,2.9,2.4L,3.6L,50
525,HCL Technologies BPO Services,Data Analyst,1,290000,2.9,1.9L,5.0L,30
526,HUDL,Data Analyst,0,290000,2.9,2.0L,3.8L,30
1196,Continental Automotive Components,Senior Data Analyst,2,290000,2.9,2.5L,3.5L,15
407,Urjanet Energy Solutions,Data Analyst,1,270000,2.7,2.0L,4.2L,118
485,First Source,Data Analyst,1,270000,2.7,1.5L,4.9L,40
433,HERE Technologies,Data Analyst,0,260000,2.6,2.0L,4.0L,72
454,Continental Automotive Components,Data Analyst,1,260000,2.6,2.2L,3.5L,53
520,Dataction Analytics,Data Analyst,0,260000,2.6,1.9L,3.5L,31
522,LiquidHub,Data Analyst,0,260000,2.6,1.4L,5.0L,30
381,GlobalLogic,Data Analyst,1,250000,2.5,2.0L,3.5L,415
386,eClerx,Data Analyst,0,250000,2.5,2.0L,3.9L,302
395,Unilog Content Solutions ( P),Data Analyst,1,250000,2.5,2.0L,3.2L,181
496,InSync Analytics,Data Analyst,1,250000,2.5,1.9L,3.3L,37
521,TSWRDC WOMEN'S DEGREE COLLEGE,Data Analyst,0,250000,2.5,2.0L,3.5L,31
401,Teleperformance,Data Analyst,1,240000,2.4,1.8L,4.4L,132
465,Straive,Data Analyst,0,240000,2.4,1.8L,3.0L,48
256,HCL Technologies BPO Services,Business Analyst,1,230000,2.3,1.6L,4.0L,95
552,Sandcube Analytics,Data Analyst,0,230000,2.3,1.1L,3.6L,26
717,AI Touch,Data Engineer,0,230000,2.3,2.0L,3.0L,11
441,Verificient Technologies,Data Analyst,0,220000,2.2,1.8L,3.3L,65
461,Optimint Solutions,Data Analyst,0,220000,2.2,1.7L,3.0L,49
474,Bahar Infocons,Data Analyst,1,220000,2.2,1.4L,3.1L,45
432,Datamatics Global Services,Data Analyst,0,210000,2.1,1.0L,5.4L,72
508,Yukthi Datasoft,Data Analyst,1,210000,2.1,1.5L,2.9L,34
554,Stats Systems India,Data Analyst,0,210000,2.1,1.5L,3.1L,26
562,Pacecom Technologies,Data Analyst,0,210000,2.1,2.0L,2.6L,25
568,EC-Mobility,Data Engineer,1,210000,2.1,1.8L,2.6L,259
697,Expert Global Solutions,Data Engineer,0,210000,2.1,1.1L,3.1L,12
398,Qualsquad Infotech,Data Analyst,0,200000,2,1.1L,3.0L,149
543,APA Engineering,Data Analyst,0,200000,2,1.5L,3.1L,27
439,Ardem Data Services,Data Analyst,0,190000,1.9,1.1L,3.0L,67
542,VeeTechnologies,Data Analyst,1,190000,1.9,1.2L,2.4L,28
1188,Unire Business Solutions,Senior Data Analyst,0,190000,1.9,1.4L,2.5L,16
1224,Wissend,Senior Data Analyst,0,190000,1.9,1.4L,2.2L,11
404,Apex CoVantage,Data Analyst,0,180000,1.8,1.1L,3.0L,123
515,Data Gyan,Data Analyst,0,180000,1.8,1.5L,2.0L,32
314,Veeraraghavan & Company,Business Analyst,0,170000,1.7,1.2L,2.3L,52
396,Cogencis Information Services,Data Analyst,1,170000,1.7,1.2L,2.6L,175
492,Data Entry,Data Analyst,0,170000,1.7,0.2L,3.4L,38
446,Kriya It,Data Analyst,0,160000,1.6,1.0L,2.5L,61
555,Objectways Technologies,Data Analyst,0,150000,1.5,1.2L,2.0L,26
467,Intelligent Image Management Inc,Data Analyst,0,140000,1.4,0.2L,2.0L,47
