id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_run,win_by_wickets,player_of_match,venue,umpire1,umpire2
783,2020,Dubai,22/10/2020,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,MK Pandey,Dubai International Cricket Stadium,Nitin Menon,PR Reiffel
784,2020,Dubai,05/10/2020,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Capitals,59,0,AR Patel,Dubai International Cricket Stadium,Nitin Menon,YC Barde
785,2020,Sharjah,26/10/2020,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,8,CH Gayle,Sharjah Cricket Stadium,KN Ananthapadmanabhan,RK Illingworth
786,2020,Sharjah,23/10/2020,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,10,TA Boult,Sharjah Cricket Stadium,C Shamshuddin,VA Kulkarni
787,2020,Dubai,17/10/2020,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Royal Challengers Bangalore,0,7,AB de Villiers,Dubai International Cricket Stadium,AK Chaudhary,Nitin Menon
788,2020,Abu Dhabi,10/10/2020,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,2,0,KD Karthik,Sheikh Zayed Stadium,UV Gandhe,CB Gaffaney
789,2020,Dubai,27/10/2020,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,normal,0,Sunrisers Hyderabad,88,0,WP Saha,Dubai International Cricket Stadium,AK Chaudhary,Nitin Menon
790,2020,Dubai,10/10/2020,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,37,0,V Kohli,Dubai International Cricket Stadium,AK Chaudhary,PR Reiffel
791,2020,Abu Dhabi,16/10/2020,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,8,Q de Kock,Sheikh Zayed Stadium,CB Gaffaney,VK Sharma
792,2020,Sharjah,27/09/2020,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,4,SV Samson,Sharjah Cricket Stadium,RK Illingworth,K Srinivasan
793,2020,Dubai,13/10/2020,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Chennai Super Kings,20,0,RA Jadeja,Dubai International Cricket Stadium,AK Chaudhary,PR Reiffel
794,2020,Abu Dhabi,11/10/2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,normal,0,Mumbai Indians,0,5,Q de Kock,Sheikh Zayed Stadium,CB Gaffaney,S Ravi
795,2020,Dubai,01/11/2020,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kolkata Knight Riders,60,0,PJ Cummins,Dubai International Cricket Stadium,Nitin Menon,PR Reiffel
796,2020,Sharjah,15/10/2020,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,8,KL Rahul,Sharjah Cricket Stadium,KN Ananthapadmanabhan,C Shamshuddin
797,2020,Abu Dhabi,29/09/2020,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,normal,0,Sunrisers Hyderabad,15,0,Rashid Khan,Sheikh Zayed Stadium,VK Sharma,S Ravi
798,2020,Abu Dhabi,19/10/2020,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Rajasthan Royals,0,7,JC Buttler,Sheikh Zayed Stadium,CB Gaffaney,VK Sharma
799,2020,Dubai,21/09/2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Royal Challengers Bangalore,10,0,YS Chahal,Dubai International Cricket Stadium,AY Dandekar,Nitin Menon
800,2020,Dubai,31/10/2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,Ishan Kishan,Dubai International Cricket Stadium,YC Barde,PR Reiffel
801,2020,Dubai,29/10/2020,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,RD Gaikwad,Dubai International Cricket Stadium,C Shamshuddin,RK Illingworth
802,2020,Abu Dhabi,30/10/2020,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,BA Stokes,Sheikh Zayed Stadium,CB Gaffaney,S Ravi
803,2020,Sharjah,04/10/2020,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Mumbai Indians,34,0,TA Boult,Sharjah Cricket Stadium,KN Ananthapadmanabhan,RK Illingworth
804,2020,Dubai,25/09/2020,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Delhi Capitals,44,0,PP Shaw,Dubai International Cricket Stadium,KN Ananthapadmanabhan,RK Illingworth
