Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
Shyal Bhartiben Dhirubhai,BHAVNAGAR,BJP,0,Graduate Professional,10448925,3072058,2014
Subhash Chandra Baheria,BHILWARA,BJP,0,Graduate,142870042,8665902,2014
Bhagirath Prasad,BHIND,BJP,0,Doctorate,21240286,3687610,2014
Kapil Moreshwar Patil,BHIWANDI,BJP,0,Graduate,363758831,10697367,2014
Dharambir,BHIWANI MAHENDRAGARH,BJP,0,Graduate,50057200,4530000,2014
Dr. Narsaiah Boora,BHONGIR,TRS,0,Post Graduate,202983225,13574088,2014
Alok Sanjar,BHOPAL,BJP,0,Graduate Professional,14594066,300000,2014
"Prasanna Kumar Patasani,",BHUBANESWAR,BJD,0,Post Graduate,13557443,9590067,2014
Bhagwanth,BIDAR,BJP,0,Graduate Professional,56559290,16829000,2014
Ramesh Jigajinagi,BIJAPUR,BJP, 2 ,Graduate,89429828,5305043,2014
Kunwar Bhartendra,BIJNOR,BJP, 2 ,Post Graduate,16340646,0,2014
Arjun Ram Meghwal,BIKANER,BJP,0,Post Graduate,18142863,1216408,2014
Lakhanlal Sau S/o Kalyan Lal Sahu,BILASPUR,BJP,0,Post Graduate,8661133,306357,2014
Satabdi Roy(banerjee),BIRBHUM,AITC,0,Graduate,54972174,5478944,2014
Saumitra Khan,BISHNUPUR,AITC, 1 ,12th Pass,1197255,0,2014
Kalikesh Narayan Singh Deo,BOLANGIR,BJD, 2 ,Graduate,87955818,24410449,2014
Anupam Hazra,BOLPUR,AITC,0,Doctorate,4866883,0,2014
Dr. Bhola Singh,BULANDSHAHR,BJP,0,Graduate,12577537,0,2014
Jadhav Prataprao Ganpatrao,BULDHANA,SHS, 2 ,12th Pass,36033147,684092,2014
Ashwini Kumar Choubey,BUXAR,BJP,0,Graduate,22100499,1923552,2014
Innocent,CHALAKUDY,IND,0,8th Pass,54474761,1303000,2014
R. Dhruvanarayana,CHAMARAJANAGAR,INC,0,Post Graduate,31519950,2605818,2014
Mahendra Nath,CHANDAULI,BJP,0,Doctorate,26489505,1114000,2014
Smt. Kirron Kher,CHANDIGARH,BJP,0,Post Graduate,335343871,1886187,2014
Dr. Harsh Vardhan,CHANDNI CHOWK,BJP, 2 ,Post Graduate,28229308,1780492,2014
Ahir Hansraj Gangaram,CHANDRAPUR,BJP, 11 ,10th Pass,15548000,99500,2014
Sunil Kumar Singh,CHATRA,BJP,0,Post Graduate,174744806,950052,2014
S.r. Vijayakumar,CHENNAI CENTRAL,AIADMK,0,Graduate Professional,13401510,350483,2014
Venkatesh Babu .t.g,CHENNAI NORTH,AIADMK,0,Post Graduate,37038275,804032,2014
Dr. J. Jayavardhan,CHENNAI SOUTH,AIADMK,0,Graduate Professional,33959072,10981100,2014
Konda Vishweshwar Reddy,CHEVELLA,TRS,0,Post Graduate,5286230210,74111133,2014
Kamal Nath,CHHINDWARA,INC,0,Graduate,2069080434,51172087,2014
Rathwa Ramsingbhai Patalbhai,CHHOTA UDAIPUR,BJP,0,Post Graduate,39769675,9763903,2014
M.chandrakasi,CHIDAMBARAM,AIADMK,0,Graduate,7243646,2020472,2014
M Veerappa Moily,CHIKKBALLAPUR,INC,0,Graduate Professional,137366682,39433827,2014
Prakash Hukkeri,CHIKKODI,INC,0,12th Pass,75717628,3635650,2014
B.n.chandrappa,CHITRADURGA,INC,0,Post Graduate,48303759,13800000,2014
Naramalli Sivaprasad,CHITTOOR,TDP,0,Graduate Professional,14878003,0,2014
Chandra Prakash,CHITTORGARH,BJP,0,Graduate,14134693,687284,2014
Rahul Kaswan,CHURU,BJP,0,Graduate,25721266,5386104,2014
"Nagarajan, P.",COIMBATORE,AIADMK,0,Graduate Professional,34306545,2235538,2014
Renuka Sinha,COOCHBEHAR,AITC,0,Graduate Professional,13017282,0,2014
A.arunmozhithevan,CUDDALORE,AIADMK, 9 ,Graduate Professional,15765250,0,2014
Bhartruhari Mahatab,CUTTACK,BJD,0,Post Graduate,88834098,0,2014
Natubhai G. Patel,DADRA AND NAGAR HAVELI,BJP, 5 ,5th Pass,154760217,62286836,2014
Bhabhor Jasvantsinh Sumanbhai,DAHOD,BJP,0,Graduate Professional,19661231,1741547,2014
