Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
Mamata Banerjee,Calcutta South,AITC,0,Post Graduate,375489,0,2004
M. P. VEERENDRA KUMAR,Calicut,JD(S),0,Post Graduate,47621096,4654480,2004
SHAILENDRA KUMAR,Chail,SP,0,12th Pass,9337424,1092000,2004
M. SHIVANNA,Chamarajanagar,JD(S), 1 ,Graduate,942100,10000,2004
KAILASH NATH SINGH YADAV,Chandauli,BSP,0,Graduate,5843089,0,2004
PAWAN KUMAR BANSAL,Chandigarh,INC,0,Graduate Professional,17550052,0,2004
KAPIL SIBAL,Chandni Chowk,INC,0,Post Graduate,158850000,0,2004
AHIR HANSRAJ GANGARAM,Chandrapur,BJP, 16 ,10th Pass,2653960,0,2004
LALU PRASAD,Chapra,RJD, 7 ,Graduate Professional,8768342,22041400,2004
DHIRENDRA AGARWAL,Chatra,RJD, 1 ,Doctorate,28085948,750000,2004
"MOORTHY, A.K.",Chengalpattu,PMK,0,Post Graduate,3696741,369957,2004
KAMALNATH,Chhindwara,INC,0,Graduate,51839379,0,2004
NARANBHAI  RATHWA,Chhota Udaipur,INC,0,Post Graduate,2793000,271125,2004
"PONNUSWAMY, E.",Chidambaram,PMK,0,Post Graduate,420000,318534,2004
R.L. JALAPPA,Chikballapur,INC,0,Graduate,40239308,105000,2004
JIGAJINAGI RAMESH CHANDAPPA,Chikkodi,BJP,0,Graduate,5480600,75000,2004
D. C. SRIKANTAPPA,Chikmagalur,BJP,0,10th Pass,6069785,0,2004
SHIVANKAR MAHADEORAO SUKAJI,Chimur,BJP,0,Post Graduate,4412847,197913,2004
VARKALA RADHAKRISHNAN,Chirayinkil,CPM,0,Graduate Professional,756621,0,2004
N.Y. HANUMANTHAPPA,Chitradurga,INC,0,Post Graduate,6250000,0,2004
D.K. AUDIKESAVULU,Chittoor,TDP,0,Not Given,670576468,0,2004
SHRICHAND KRIPLANI,Chittorgarh,BJP,0,Not Given,2448887,0,2004
RAMSINGH KASWAN,Churu,BJP,0,Graduate Professional,13198438,208154,2004
Prasanta Pradhan,Contai,CPM,0,Post Graduate,1410752,15000,2004
Hiten Barman,Cooch Behar,AIFB,0,12th Pass,546676,279146,2004
VENKATAPATHY. K,Cuddalore,DMK, 5 ,Graduate Professional,3617839,0,2004
Y.S. VIVEKANANDA REDDY,Cuddapah,INC,0,Graduate,36227380,0,2004
BHARTRUHARI MAHTAB,Cuttack,BJD,0,Post Graduate,17843407,169357,2004
DELKAR MOHANBHAI SANJIBHAI,Dadra & Nagar Haveli,BNP,0,12th Pass,28619160,1296271,2004
SHINGADA DAMODAR BARKU,Dahanu,INC,0,10th Pass,8657109,0,2004
PATEL DAHYABHAI VALLABHBHAI,Daman And Diu,INC, 1 ,12th Pass,54787351,6640008,2004
CHANDRABHAN BHAIYA,Damoh,BJP,0,8th Pass,10348557,325874,2004
MD. ALI ASHRAF FATMI,Darbhanga,RJD,0,Post Graduate,2071240,545183,2004
Dawa Narbula,Darjeeling,INC,0,Post Graduate,7065000,200000,2004
SACHIN PILOT,Dausa,INC,0,Post Graduate,2555000,0,2004
G.M. SIDDESWARA,Davangere,BJP,0,10th Pass,50282989,0,2004
DHARMENDRA PRADHAN,Deogarh,BJP,0,Post Graduate,476756,306250,2004
MOHAN SINGH,Deoria,SP,0,Not Given,8468000,150000,2004
CHANDRA SHEKHAR DUBEY,Dhanbad,INC,0,10th Pass,10250582,323838,2004
VARMA RATILAL KALIDAS,Dhandhuka,BJP,0,Post Graduate,7900277,3881919,2004
CHHATAR SINGH DARBAR,Dhar,BJP, 1 ,Post Graduate,2885302,271133,2004
PRALHAD JOSHI,Dharwad North,BJP, 4 ,Graduate,7760188,32587745,2004
KUNNUR MANJUNATH CHANNAPPA,Dharwad South,BJP,0,Post Graduate,12862400,730000,2004
TATHAGATA SATAPATHY,Dhenkanal,BJD, 5 ,Others,2775930,0,2004
ANWAR HUSSAIN,Dhubri,INC,0,Graduate Professional,558467,225000,2004
CHAURE BAPU HARI,Dhule,INC, 1 ,Graduate,3039824,0,2004
Samik Lahiri,Diamond Harbour,CPM,0,Graduate,232000,0,2004
SARBANANDA SONOWAL,Dibrugarh,AGP,0,Graduate Professional,2038397,758854,2004
"CHITTHAN, N. S. V.",Dindigul,INC,0,Graduate,13247227,875536,2004
KATARA BABUBHAI KHIMABHAI,Dohad,BJP,0,Graduate,700000,109751,2004
MOHD. MUQUEEM,Domariaganj,BSP, 2 ,10th Pass,4902000,0,2004
Amitava Nandy,Dum Dum,CPM,0,12th Pass,2935137,0,2004
SHIBU SOREN,Dumka,JMM, 4 ,10th Pass,3776022,8013462,2004
TARACHAND SAHU,Durg,BJP,0,Post Graduate,3205175,1060847,2004
Sunil Khan,Durgapur,CPM,0,Graduate,2796700,0,2004
SANDEEP DIKSHIT,East Delhi,INC,0,Post Graduate,4764901,246779,2004
KAVURU  SAMBA SIVA RAO,Eluru,INC,0,Not Given,117898221,191621,2004
ANNASAHEB M. K. PATIL,Erandol,BJP,0,Post Graduate,4492440,944685,2004
DR. SEBASTIAN PAUL,Ernakulam,IND,0,Doctorate,2993000,764304,2004
KU. DEVENDRA SINGH YADAV,Etah,SP,0,Doctorate,117888469,16200,2004
