Day,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Rainfall for year (in),Maximum rain per minute,Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph),Maximum gust speed (mph),Maximum heat index (°F)
22/04/2009,47.0,48,25.6,29.9,5.5,7.8,256,1.3,1.94,0.0,62.1,30.0,83,17,29.992,29.759,26.5,35.0,62.1
23/04/2009,52.1,35,21.6,29.7,5.6,8.0,256,1.3,1.94,0.0,67.9,33.1,70,12,29.856,29.496,31.1,49.0,74.1
24/04/2009,53.1,38,24.8,29.5,11.3,14.7,296,1.3,1.94,0.0,64.7,40.2,76,18,29.637,29.363000000000003,27.6,39.0,72.8
25/04/2009,34.7,90,31.9,29.8,2.2,3.8,69,1.42,2.06,0.01,40.1,32.6,93,77,29.907,29.628,8.1,12.0,40.1
26/04/2009,37.1,60,23.5,29.8,10.0,14.4,270,1.58,2.22,0.01,44.3,30.3,94,35,29.923,29.654,26.5,40.0,44.3
27/04/2009,31.2,80,25.1,30.1,4.1,6.4,112,1.8,2.44,0.01,39.8,25.4,92,35,30.221,29.925,19.6,25.0,39.8
28/04/2009,43.5,60,29.2,29.9,4.0,6.2,52,1.8,2.44,0.0,60.9,26.4,89,23,30.172,29.733,19.6,29.0,60.9
29/04/2009,52.7,30,19.6,29.7,8.1,11.3,245,1.8,2.44,0.0,65.0,37.6,65,9,29.885,29.628,24.2,33.0,69.4
30/04/2009,42.9,63,30.7,29.9,3.6,5.7,52,1.8,2.44,0.0,53.1,29.4,79,41,29.983,29.882,12.7,18.0,53.1
1/05/2009,37.2,87,33.6,30.1,4.0,5.7,50,0.07,2.51,0.01,43.8,33.4,94,73,30.157,29.95,13.8,18.0,43.8
2/05/2009,37.7,89,34.5,29.9,2.8,4.0,51,0.35,2.79,0.01,48.5,32.9,94,66,30.114,29.759,12.7,16.0,48.5
3/05/2009,42.1,69,31.1,29.9,5.7,7.9,304,0.41,2.85,0.01,53.4,32.7,94,36,30.052,29.844,19.6,28.0,53.4
4/05/2009,46.3,50,27.1,29.8,8.5,12.4,263,0.41,2.85,0.0,56.9,36.9,88,22,29.882,29.753,24.2,36.0,56.9
5/05/2009,48.9,51,31.0,29.7,7.6,11.3,269,0.49,2.93,0.01,58.3,39.8,87,31,29.835,29.648000000000003,29.9,39.0,58.3
6/05/2009,54.4,37,25.3,29.8,8.7,12.7,265,0.49,2.93,0.0,68.9,37.3,85,15,29.844,29.641,27.6,40.0,74.5
7/05/2009,57.3,30,24.6,29.6,7.1,10.8,273,0.49,2.93,0.0,69.9,44.5,50,14,29.745,29.549,29.9,46.0,74.9
8/05/2009,47.1,34,18.8,29.8,8.4,13.0,286,0.49,2.93,0.0,55.6,37.5,52,15,30.154,29.619,26.5,35.0,55.6
9/05/2009,42.7,54,26.4,30.0,3.5,5.7,69,0.61,3.05,0.01,55.1,32.2,90,33,30.145,29.982,17.3,26.0,55.1
10/05/2009,38.0,87,34.4,30.1,2.6,4.1,68,0.8,3.24,0.01,43.6,32.9,93,72,30.193,30.045,10.4,14.0,43.6
11/05/2009,51.1,59,33.4,29.9,3.0,5.0,26,0.8,3.24,0.0,70.3,31.9,92,13,30.145,29.644,15.0,26.0,78.5
12/05/2009,57.8,38,27.5,29.5,10.3,15.0,266,0.8,3.24,0.0,71.6,40.6,79,12,29.681,29.311,32.2,45.0,76.2
13/05/2009,51.6,23,14.1,29.7,11.2,16.0,265,0.8,3.24,0.0,59.9,41.8,31,13,30.022,29.346,29.9,43.0,59.9
14/05/2009,50.8,32,19.5,29.8,5.4,8.3,291,0.8,3.24,0.0,67.8,30.4,60,16,30.023000000000003,29.673,26.5,35.0,74.2
15/05/2009,52.6,40,27.1,29.8,10.1,13.3,340,0.8,3.24,0.0,63.4,41.3,62,15,30.034,29.617,27.6,40.0,63.4
16/05/2009,47.9,57,33.0,30.1,4.4,6.4,65,0.8,3.24,0.0,60.7,36.2,80,35,30.246,30.022,15.0,20.0,60.7
17/05/2009,54.2,44,28.1,30.1,3.1,27.7,10,0.8,3.24,0.0,71.3,32.5,83,16,30.281,29.945,11.5,255.0,75.9
18/05/2009,60.4,35,27.3,30.0,2.1,45.2,80,0.8,3.24,0.0,79.0,36.0,74,9,30.239,29.644,16.1,255.0,77.6
19/05/2009,61.9,32,28.8,29.7,7.7,65.8,304,0.8,3.24,0.0,76.7,46.0,55,15,29.964,29.471,19.6,255.0,78.0
20/05/2009,62.5,35,33.4,29.7,9.9,61.1,283,0.8,3.24,0.0,69.4,54.4,52,24,29.763,29.555,27.6,255.0,77.0
21/05/2009,50.6,72,41.5,29.9,3.2,13.8,69,0.8,3.24,0.0,55.7,45.1,93,45,30.048,29.747,13.8,255.0,55.7
22/05/2009,53.7,67,40.9,29.9,5.0,98.1,20,0.86,3.3,0.03,66.6,37.2,94,38,30.117,29.711,18.4,255.0,79.0
23/05/2009,48.9,83,43.9,30.0,2.4,3.6,50,1.07,3.51,0.01,53.5,43.3,93,69,30.052,29.711,8.1,12.0,53.5
24/05/2009,50.7,80,44.6,29.8,1.6,2.8,358,1.16,3.6,0.01,61.0,43.3,93,59,29.938,29.707,9.2,17.0,61.0
25/05/2009,50.1,68,39.2,29.8,6.8,9.4,300,1.53,3.97,0.08,59.5,43.2,92,43,29.871,29.675,18.4,28.0,59.5
26/05/2009,46.5,74,38.0,29.9,3.2,4.8,40,1.6,4.04,0.01,55.7,39.2,92,44,30.007,29.865,16.1,26.0,55.7
27/05/2009,48.8,60,32.8,30.0,3.4,5.1,338,1.62,4.06,0.01,65.8,30.4,93,21,30.112,29.872,26.5,74.0,76.0
